Item No,Item Name,Collection,Product Type,"Department
(manual input)",Item Type,Gender,Line Status,PriceType,MSRP,UPC Code,Season,Catalog Status,MetalType,MetalColor,Case Shape,Watch Movement Type,Band Type,Band Color,Band Material,Watch Dial color,Watch crystal,Gem Type,Watch Case Diameter  (mm),Jlry Size,Jlry Dims,Length,Water Resistance (Meters),https://docs.google.com/spreadsheets/d/1_-9VqVemWseZXiEiXVuXxqIX4wOLo3l5Hhj5UnNy3rE/edit?gid=1368149032#gid=1368149032,Image Link 1,Image Link 2,IsImageFromURL
98A320,Bulova Stainless Steel Performance Mens Watch,Bulova,Bulova,Timepieces,Watch,Mens,New,1,$875.00,42429603653,2025 SPRING,Catalog,Stainless Steel,Black,Tonneau,Automatic,Bracelet,Black,Stainless Steel,Other,Anti-Reflective Dual Curved Sapphire Crystal,None,40,,,,0050M,"This Bulova men?s watch from the Maquina collection offers daringly avant-garde design. The watch features a 40mm black-tone stainless steel case with a curved sapphire crystal, a black bezel, and a black-tone stainless steel bracelet with a push-button deployant closure. The rainbow-colored patterned dial has black hands and silver-tone markers with luminescent fill and a central aperture revealing the inner workings of the 21-jewel automatic skeletonized movement, also visible through a transparent case back, which has a 42-hour power reserve. With its mechanical heart and unrivaled modern form, this Bulova men?s timepiece offers a uniquely individual expression of style.",https://bulova.widen.net/content/jymzi26mie/jpeg/98A320_Catalog.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://bulova.widen.net/content/fkda1kpnig/jpeg/jymzi26mie_Catalog.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
98A321,Bulova Stainless Steel Performance Mens Watch,Bulova,Bulova,Timepieces,Watch,Mens,New,1,$875.00,42429603660,2025 SPRING,Catalog,Stainless Steel,Two-Tone,Tonneau,Automatic,Bracelet,Gray,Stainless Steel,Green,Anti-Reflective Dual Curved Sapphire Crystal,None,40,,,,0050M,"This Bulova men?s watch from the Maquina collection offers daringly avant-garde design. The watch features a 40mm gun metal- and black-tone stainless steel case with a curved sapphire crystal and a gun metal-tone stainless steel bracelet with a push-button deployant closure. The green patterned dial with black dial ring and bridges has black hands and silver-tone markers with luminescent fill, with a central aperture revealing the inner workings of the 21-jewel automatic, also visible through a transparent case back, skeletonized movement which has a 42-hour power reserve. With its mechanical heart and unrivaled modern form, this Bulova men?s timepiece offers a uniquely individual expression of style.",https://bulova.widen.net/content/nesxn3yy6c/jpeg/98A321_Catalog.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://bulova.widen.net/content/0ndcbsxxcl/jpeg/nesxn3yy6c_Catalog.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
98A324,Bulova Bronze #CuSn8 Heritage Mens Watch,Bulova,Bulova,Timepieces,Watch,Mens,New,1,"$1,195.00",42429603738,2025 SPRING,Catalog,Bronze #CuSn8,Bronze,Round,Automatic,Strap,Green,CORDURA? + HNBR,Green,Anti-Reflective Double Domed Sapphire Crystal,None,41,,,,0200M,"Honoring Bulova?s storied history with the armed forces and based on a rare prototype from 1957 developed for the U.S. Navy, the Special Edition MIL-SHIPS Bronze celebrates Bulova?s 150th Anniversary and its legacy of innovation and fine craftsmanship.  
This newly reimagined timepiece features an elevated design with a sandblast-finished case made of CuSn8 bronze, a lustrous material with a rose-gold hue reminiscent of 19th-century copper diving helmets. Bronze is much stronger than copper, and over time, it forms a natural patina, adding a protective layer that enhances its durability and enriches its unique, timeless look. Distinctive features include an army green dial with a?matching aluminum bidirectional bezel insert, a vintage-inspired handset with super luminous hands and markers, a bi-color moisture strip indicator strip, and a double-domed sapphire crystal with a?5-layer anti-reflective coating. Paired with an upgraded army green 18mm strap made of a hybrid of rubber and Cordura? nylon for durability and comfort and powered by a 21-jewel automatic movement with a 60-hour reserve, it showcases a commemorative 150th Anniversary embossed case back and is water resistant up to 200 meters. Delivered in premium packaging with a storybook, this heritage-inspired MIL-SHIPS Bronze men?s timepiece is a must-have for collectors and enthusiasts alike.",https://bulova.widen.net/content/pztio9gquk/jpeg/98A324_Catalog.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://bulova.widen.net/content/edd4jepkyw/jpeg/pztio9gquk_Catalog.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
98A325,Bulova Bronze #CuSn8 Heritage Mens Watch,Bulova,Bulova,Timepieces,Watch,Mens,New,1,"$1,195.00",42429603745,2025 SPRING,Catalog,Bronze #CuSn8,Bronze,Round,Automatic,Strap,Blue,CORDURA? + HNBR,Blue,Anti-Reflective Double Domed Sapphire Crystal,None,41,,,,0200M,"Honoring Bulova?s storied history with the armed forces and based on a rare prototype from 1957 developed for the U.S. Navy, the Special Edition MIL-SHIPS Bronze celebrates Bulova?s 150th Anniversary and its legacy of innovation and fine craftsmanship.  This newly reimagined timepiece features an elevated design with a sandblast-finished case made of CuSn8 bronze, a lustrous material with a rose-gold hue reminiscent of 19th-century copper diving helmets. Bronze is much stronger than copper, and over time, it forms a natural patina, adding a protective layer that enhances its durability and enriches its unique, timeless look. Distinctive features include a deep blue dial with a?matching aluminum bidirectional bezel insert, a vintage-inspired handset with super luminous hands and markers, a bi-color moisture strip indicator strip, and a double-domed sapphire crystal with a?5-layer anti-reflective coating. Paired with an upgraded deep blue 18mm strap made of a hybrid of rubber and Cordura? nylon for durability and comfort and powered by a 21-jewel automatic movement with a 60-hour reserve, it showcases a commemorative 150th Anniversary embossed case back and is water resistant up to 200 meters. Delivered in premium packaging with a storybook, this heritage-inspired MIL-SHIPS Bronze men?s timepiece is a must-have for collectors and enthusiasts alike.?",https://bulova.widen.net/content/giqohdlbud/jpeg/98A325_Catalog.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://bulova.widen.net/content/rebbvgyxfz/jpeg/giqohdlbud_Catalog.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
98A327,Bulova Stainless Steel Modern BUL Mens Watch,Bulova,Apollo,Timepieces,Watch,Mens,New,1,$695.00,42429603875,2025 SPRING,Catalog,Stainless Steel,Two-Tone,Round,Automatic,Strap,Black,Leather,Black,Domed Sapphire Crystal,None,40,,,,0030M,"In celebration of fine watchmaking and the spirit of New York City, we present the Bulova x Apollo timepiece inspired by the legendary Apollo Theater?the soul of American culture. This automatic timepiece from our Modern collection blends a sleek modern design with a mechanical heart to ensure you never miss a beat. The 40mm two-tone case features black IP-coated and gold-tone stainless steel and an edge-to-edge metallized crystal, with a black leather strap with a pin-buckle closure. The deep black dial is accented by rose gold-tone hands and markers and an aperture that reveals the heart of the 21-jewel automatic movement, which has a 42-hour power reserve. Push your style to the edge with this instant classic from Bulova.",https://bulova.widen.net/content/dgtusrhkek/jpeg/98A327_Catalog.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://bulova.widen.net/content/32dvuo4wog/jpeg/dgtusrhkek_Catalog.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
98B104,Bulova Stainless Steel Performance Mens Watch,Bulova,Bulova,Timepieces,Watch,Mens,Core,1,$595.00,42429442221,2008 SPRING,Catalog,Stainless Steel,Two-Tone,Round,Quartz,Strap,Black,Silicone,Black,Mineral Crystal,None,44,,,,0100M,"From the Marine Star Collection. High-performance chronograph in stainless steel with black and rose-gold ion-plated finish, black patterned dial, luminous hands, calendar, second hand, mineral crystal, screw-back, and black rubber strap.",https://bulova.widen.net/content/4uquu07msc/jpeg/98B104_Catalog.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://bulova.widen.net/content/glmrrkzwpg/jpeg/98B104_Back.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
98B278,Bulova Stainless Steel Performance Mens Watch,Bulova,Bulova,Timepieces,Watch,Mens,Core,1,$595.00,42429542181,2016 FALL,Catalog,Stainless Steel,Two-Tone,Round,Quartz,Strap,Black,Silicone,Black,Mineral Crystal,None,44,,,,0100M,"From the Marine Star Collection. Six hand chronograph with calendar in black IP and gold-tone stainless steel with black dial, flat mineral glass, screw-back case, black silicon strap with 3-piece buckle closure.",https://bulova.widen.net/content/fzygxiyhnl/jpeg/98B278.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://bulova.widen.net/content/bgw7jmfady/jpeg/98B278_Back.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
98B301,Bulova Stainless Steel Performance Mens Watch,Bulova,Bulova,Timepieces,Watch,Mens,Core,1,$650.00,42429551244,2017 FALL,Catalog,Stainless Steel,Two-Tone,Round,Quartz,Bracelet,Silver-Tone,Stainless Steel,Blue,Domed Mineral Crystal,None,45,,,,0200M,"From the Marine Star Collection New six-hand chronograph movement with 200-meter water resistance. In stainless steel with rose gold-tone accents and blue glass insert on ratcheted rotating bezel, blue dial with luminous hands and markers, and calendar feature, domed mineral crystal, screw-back case, stainless steel and rose-gold tone bracelet with fold-over buckle closure, safety bar and extender.",https://bulova.widen.net/content/lpyxhtvy5s/jpeg/98B301_Ad.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://bulova.widen.net/content/coln4nyxn3/jpeg/98B301_Back.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
98B323,Bulova Stainless Steel Dress/Classic BUL Mens Watch,Bulova,Bulova,Timepieces,Watch,Mens,Core,1,$725.00,42429560970,2018 FALL,Catalog,Stainless Steel,Two-Tone,Cushion,Quartz,Bracelet,Two-Tone,Stainless Steel,Silver-White,Metalized Curved Mineral Crystal,Crystal,40,,,,0030M,"Dress watch opulently embellished with 582 crystals on the cushion-shaped stainless steel and gold-tone case and bracelet, and round pave set three-hand silver white dial with date feature. Curved mineral crystal, deployant closure, quartz movement, and water resistance to 30 meters.",https://bulova.widen.net/content/kgcu5eqnjg/jpeg/98B323.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://bulova.widen.net/content/aks55lvbt3/jpeg/98B323_Back.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
98B356,Bulova Stainless Steel Luxury Mens Watch,Bulova,Bulova,Timepieces,Watch,Mens,Core,1,"$1,350.00",42429585577,2020 FALL,Catalog,Stainless Steel,Two-Tone,Tonneau,High Performance Quartz,Strap,Brown,Leather,Black,Anti-Reflective Curved Sapphire Crystal,None,44.5,,,,0050M,"Marking the 10th anniversary of the Precisionist movement, the Series X Special Edition is a celebration of unparalleled accuracy. The special edition timepiece features a distinctive rose gold-tone stainless steel case with a gray Damascus steel top ring insert. The black dial features a calendar window and a view into the proprietary Precisionist eight-hand chronograph high-precision quartz movement. The fine brown leather strap is complete with a deployant buckle. The case features a curved sapphire crystal with AR coating, screw down case back, and water resistance to 50 meters. The Series X Special Edition arrives in an elegant presentation box with plaque.",https://bulova.widen.net/content/sqgp1gy1xy/jpeg/98B356.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://bulova.widen.net/content/3qgkhobqps/jpeg/98B356_Back.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
98B357,Bulova Stainless Steel Luxury Mens Watch,Bulova,Bulova,Timepieces,Watch,Mens,Core,1,$995.00,42429585546,2021 SPRING,Catalog,Stainless Steel,Two-Tone,Tonneau,High Performance Quartz,Strap,Blue,EPDM Rubber,Blue,Anti-Reflective Curved Sapphire Crystal,None,44.5,,,,0300M,"Since its 2010 debut, the Precisionist movement exhibited advanced timekeeping at its best ? fusing distinctive bold architectural design with state-of-the-art proprietary 262kHz movement. 2020 celebrates 10 years of the Precisionist technology and reinvents the Series X aesthetic with a revolutionary new design. With its proprietary high precision movement and continuous-sweep second hand, this men?s watch features a stainless steel grey case with a black top ring insert and blue dial. Paired with a blue rubber strap, this is a bold accessory for any occasion. In addition, and it features a calendar and twelve-hour chronograph with precise timing to 1/1000th of a second and continuous-sweep second hand for a perfect pairing of form and function. Luxury, performance, and history ? the Series X is a perfect union of innovative technology and design ? a discerning timepiece for the ages.",https://bulova.widen.net/content/ytzlveo7a0/jpeg/98B357.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://bulova.widen.net/content/xhq6qgo6n2/jpeg/98B357_Back.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
98B358,Bulova Stainless Steel Luxury Mens Watch,Bulova,Bulova,Timepieces,Watch,Mens,Core,1,$995.00,42429585553,2021 SPRING,Catalog,Stainless Steel,Two-Tone,Tonneau,High Performance Quartz,Strap,Black,EPDM Rubber,Black,Anti-Reflective Curved Sapphire Crystal,None,44.5,,,,0300M,"Since its 2010 debut, the Precisionist movement exhibited advanced timekeeping at its best ? fusing distinctive bold architectural design with state-of-the-art proprietary 262kHz movement. 2020 celebrates 10 years of the Precisionist technology and reinvents the Series X aesthetic with a revolutionary new design. With its proprietary high precision movement, the men?s watch features a stainless steel grey case with a black top ring insert and black dial. It is paired with a black EPDM rubber strap. In addition, it features a calendar and twelve-hour chronograph with precise timing to 1/1000th of a second and continuous-sweep second hand for a perfect pairing of form and function. Luxury, performance, and history ? the Series X is a perfect union of innovative technology and design ? a discerning timepiece for the ages.",https://bulova.widen.net/content/ijfchluvwp/jpeg/98B358.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://bulova.widen.net/content/zfpse5yjbl/jpeg/98B358_Back.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
98B384,Bulova Stainless Steel Performance Mens Watch,Bulova,Bulova,Timepieces,Watch,Mens,Core,1,$495.00,42429589407,2022 SPRING,Catalog,Stainless Steel,Two-Tone,Round,Quartz,Bracelet,Two-Tone,Stainless Steel,Blue,Mineral Crystal,None,43,,,,0100M,"From the Marine Star Collection, summon the high seas in elevated style with the new Marine Star men?s watch. The clean, sporty design in polished silver-tone stainless steel with gold-tone accents features a blue sunray dial with luminous hands and markers and a calendar. This timepiece also has a fold-over buckle closure and is water resistant to 100 meters. For a Bulova timepiece that makes a standout statement, the Marine Star is the perfect choice.",https://bulova.widen.net/content/gafzyvevuw/jpeg/98B384.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://bulova.widen.net/content/b9sa0fvheg/jpeg/98B384_BACK.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
98B391,Bulova Stainless Steel Dress/Classic BUL Mens Watch,Bulova,Bulova,Timepieces,Watch,Mens,Core,1,$450.00,42429590595,2022 FALL,Catalog,Stainless Steel,Two-Tone,Round,Quartz,Bracelet,Two-Tone,Stainless Steel,Silver-White,Domed Mineral Crystal,None,41,,,,0030M,"Pay homage to simpler times with the Wilton men?s timepiece from the Bulova Classic collection. This straightforward yet elegantly updated, two-tone watch features a brushed gold- and silver-tone stainless steel case that holds the lustrous silver-white, 3-hand dial with sunray detail, calendar, polished Roman numeral markers, and a domed crystal. The gold- and silver-tone stainless steel bracelet features a deployant buckle with pushers for easy accessibility. Get back to basics in style with the classic Wilton from Bulova.",https://bulova.widen.net/content/okytmumikl/jpeg/98B391.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://bulova.widen.net/content/is79nbamyg/jpeg/98B391_BACK.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
98B402,Bulova Stainless Steel and 18 Karat Rose Gold Marc Anthony Mens Watch,Bulova,Marc Anthony,Timepieces,Watch,Mens,Core,1,"$4,500.00",42429592247,2022 FALL,Catalog,Stainless Steel and 18 Karat Rose Gold,Two-Tone,Tonneau,High Performance Quartz,Strap,Black,Leather,Black,Anti-Reflective Curved Sapphire Crystal,None,44.7,,,,0050M,"In a bold collaboration with Marc Anthony, one of music?s most influential artists of all time, Bulova presents the new Marc Anthony Series X Limited Edition men?s chronograph, fusing Bulova?s legendary fine watchmaking with Marc Anthony?s artistic vision and our shared love of music in an exclusive timepiece that represents his taste for luxury and personal style. Limited to 531 pieces, the signature case design features a black ion-plated stainless steel faceted construction with a blend of polished and brushed finishes and an 18k rose gold bezel insert. The striking black dial features a brushed finish and a date display with bold orange accents, including the smooth sweeping seconds hand and the hour markers at 1, 3, and 5 o?clock, chosen by Marc for their personal significance, as well as luminous hands and markers. The dial features a date display and chronograph subdials that allow timing to an astonishing 1/1000 second. A translucent aperture in the dial offers a peek behind the curtain at the Bulova Precisionist chronograph movement, a revolutionary 8-jewel quartz mechanism accurate to 5 seconds per month and increased resistance to temperature changes and is finished with a curved anti-reflective sapphire crystal. Adorning the case back is a unique glass insert with the quote, ?For those who know,? Marc Anthony?s signature and limited-edition numbering. The watch is paired perfectly with a crocodile-grain black leather strap with Anthony?s signature on the case and a push-button deployant clasp. With 50m water resistance, the Bulova Marc Anthony Series X Limited Edition men?s chronograph is the epitome of modern luxury. It unites Marc Anthony?s music that transcends time with Bulova?s proprietary technology and Bold at Heart spirit to keep you always within style?s rhythm.",https://bulova.widen.net/content/uxyve5zoaa/jpeg/98B402.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://bulova.widen.net/content/ctdxly9n7h/jpeg/98B402_BACK.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
98B421,Bulova Stainless Steel Performance Mens Watch,Bulova,Bulova,Timepieces,Watch,Mens,core,1,$750.00,42429597518,2024 SPRING,Catalog,Stainless Steel,Rose Gold-Tone,Round,HPQ Precisionist,Strap,Black,Silicone,Brown,Anti-Reflective Sapphire Crystal,None,43,,,,0200M,"An incredibly bold design, this men?s Bulova Marine Star Precisionist sport watch pushes the limits with Bulova?s cutting edge technology and a strikingly modern case. Defined by a rugged, angular profile, the 43mm rose gold-tone stainless steel case features brushed facets and polished accents, with a unidirectional timing bezel with a ceramic insert, a sapphire crystal, and a screw-down crown ensuring 200m water resistance. The rich brown dial takes its inspiration from the undulating crests of the ocean, with a wave pattern accented by applied hour markers and a bold handset, all featuring luminescent material for unrivaled legibility in all conditions. A date window is position at 3 o?clock, while the red-tipped seconds hand brings a subtle pop of color and sweeps smoothly around the dial thanks to Bulova?s proprietary Precisionist movement, a revolutionary 8-jewel quartz mechanism vibrating at a remarkable 262kHz and accurate to seconds per year with increased resistance to temperature changes. Paired with a durable silicone strap with a pin buckle closure, this men?s Bulova timepiece is equipped to handle everything from the office to the ocean.",https://bulova.widen.net/content/hh9ik19akp/jpeg/98B421_Catalog.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://bulova.widen.net/content/kqdti8qujq/jpeg/98B421_Back.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
98B422,Bulova Stainless Steel Dress/Classic BUL Mens Watch,Bulova,Bulova,Timepieces,Watch,Mens,core,1,$475.00,42429597556,2024 SPRING,Catalog,Stainless Steel,Silver-Tone,Round,Automatic,Bracelet,Silver-Tone,Stainless Steel,Burgundy,Anti-Reflective Sapphire Crystal,None,39,,,,0030M,"The Bulova men?s Surveyor is defined by exceptional quality and sophisticated aesthetics. The silver-tone stainless steel case features sculpted edges and faceting which provide an effortless wear on the wrist, with polished and brushed finishing, a flat sapphire crystal, and a matching quick-release 3-link stainless steel bracelet with a push-button deployant clasp. The rich burgundy dial has a sunburst finish and features rose gold-tone accents, hands with luminescent fill, debossed minute markers, and a magnified date display. The watch is powered by an  21-jewels and a 42-hour power reserve, which can be seen in full through a mineral crystal exhibition window in the caseback. For those with a discerning eye for refined luxury, this Bulova men?s timepiece is the obvious choice.",https://bulova.widen.net/content/j731cl1xtz/jpeg/98B422_Catalog.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://bulova.widen.net/content/pg5fyoebwk/jpeg/98B422_Back.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
98B445,Bulova Hybrid-Ceramic Performance Mens Watch,Bulova,Bulova,Timepieces,Watch,Mens,New,1,$350.00,42429603493,2025 SPRING,Catalog,Hybrid-Ceramic,Blue,Round,Quartz,Rubber,Blue,HNBR,Blue,Double Curved Mineral Box Crystal,None,41,,,,0100M,"Continuing Bulova?s tradition of innovation and fine craftsmanship, our new Snorkel collection blends vintage-inspired design with a fresh, modern twist. The reimagined Bulova Snorkel shares DNA with the iconic Oceanographer through its classic yet recognizable case shape. In vibrant hues inspired by marine life, each 41mm timepiece features a retro case shape made with a new innovative Hybrid Ceramic?a composite material that feels luxuriously smooth with enhanced durability. This model?s wave-pattern blue dial and striking hybrid case pair perfectly with the blue unidirectional bezel with a bi-color insert and a case back etched with an image of a Blue Tang fish, paying homage to its oceanic roots. With silver-tone hands and markers with luminescent fill, a date display, and a matching blue perforated rubber strap, the men?s Snorkel embodies timeless design, and with 100m water resistance, it perfectly balances style and functionality with Bulova?s legacy of iconic watchmaking.",https://bulova.widen.net/content/yl8xpbjukx/jpeg/98B445_Catalog.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://bulova.widen.net/content/m760zc0ecq/jpeg/yl8xpbjukx_Catalog.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
98B446,Bulova Hybrid-Ceramic Performance Mens Watch,Bulova,Bulova,Timepieces,Watch,Mens,New,1,$350.00,42429603509,2025 SPRING,Catalog,Hybrid-Ceramic,Green,Round,Quartz,Rubber,Green,HNBR,Brown,Double Curved Mineral Box Crystal,None,41,,,,0100M,"Continuing Bulova?s tradition of innovation and fine craftsmanship, our new Snorkel collection blends vintage-inspired design with a fresh, modern twist. The reimagined Bulova Snorkel shares DNA with the iconic Oceanographer through its classic yet recognizable case shape. In vibrant hues inspired by marine life, each 41mm timepiece features a retro case shape made with a new innovative Hybrid Ceramic?a composite material that feels luxuriously smooth with enhanced durability. This model?s wave-pattern brown dial and striking hybrid case pair perfectly with the green unidirectional bezel with a bi-color insert and a case back etched with an image of a Sea Turtle, paying homage to its oceanic roots. With silver-tone hands and markers with luminescent fill, a date display, and a matching green perforated rubber strap, the men?s Snorkel embodies timeless design, and with 100m water resistance, it perfectly balances style and functionality with Bulova?s legacy of iconic watchmaking.",https://bulova.widen.net/content/by58zlzjul/jpeg/98B446_Catalog.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://bulova.widen.net/content/j662luqfne/jpeg/by58zlzjul_Catalog.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
98B448,Bulova Hybrid-Ceramic Performance Mens Watch,Bulova,Bulova,Timepieces,Watch,Mens,New,1,$350.00,42429603523,2025 SPRING,Catalog,Hybrid-Ceramic,White,Round,Quartz,Rubber,Orange,HNBR,White,Double Curved Mineral Box Crystal,None,41,,,,0100M,"Continuing Bulova?s tradition of innovation and fine craftsmanship, our new Snorkel collection blends vintage-inspired design with a fresh, modern twist. The reimagined Bulova Snorkel shares DNA with the iconic Oceanographer through its classic yet recognizable case shape. In vibrant hues inspired by marine life, each 41mm timepiece features a retro case shape made with a new innovative Hybrid Ceramic?a composite material that feels luxuriously smooth with enhanced durability. This model?s wave-pattern dial and striking hybrid case pair perfectly with an orange unidirectional bezel with a bi-color insert and a case back etched with an image of a Clownfish, paying homage to its oceanic roots. With silver-tone hands and markers with luminescent fill, a date display, and a matching orange perforated rubber strap, the men?s Snorkel embodies timeless design, and with 100m water resistance, it perfectly balances style and functionality with Bulova?s legacy of iconic watchmaking.",https://bulova.widen.net/content/idrljw04lz/jpeg/98B448_Catalog.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://bulova.widen.net/content/1zw8p5u0et/jpeg/idrljw04lz_Catalog.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
98B449,Bulova Hybrid-Ceramic Performance Mens Watch,Bulova,Bulova,Timepieces,Watch,Mens,New,1,$350.00,42429603516,2025 SPRING,Catalog,Hybrid-Ceramic,Gray,Round,Quartz,Rubber,Gray,HNBR,White,Double Curved Mineral Box Crystal,None,41,,,,0100M,"Continuing Bulova?s tradition of innovation and fine craftsmanship, our new Snorkel collection blends vintage-inspired design with a fresh, modern twist. The reimagined Bulova Snorkel shares DNA with the iconic Oceanographer through its classic yet recognizable case shape. In hues inspired by marine life, each 41mm timepiece features a retro case shape made with a new innovative Hybrid Ceramic?a composite material that feels luxuriously smooth with enhanced durability. This model?s wave-pattern white dial and striking hybrid case pair perfectly with a gray unidirectional bezel with a bi-color insert and a case back etched with an image of a Great White Shark, paying homage to its oceanic roots. With silver-tone hands and markers with luminescent fill, a date display, and a matching gray perforated rubber strap, the men?s Snorkel embodies timeless design, and with 100m water resistance, it perfectly balances style and functionality with Bulova?s legacy of iconic watchmaking.",https://bulova.widen.net/content/6jt4htgvix/jpeg/98B449_Catalog.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://bulova.widen.net/content/2wkkdwk3qk/jpeg/6jt4htgvix_Catalog.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
98B450,Bulova Stainless Steel Dress/Classic BUL Mens Watch,Bulova,Bulova,Timepieces,Watch,Mens,New,1,$650.00,42429603363,2025 SPRING,Catalog,Stainless Steel,Two-Tone,Dodecagon,Quartz,Bracelet,Two-Tone,Stainless Steel,White,Anti-Reflective Sapphire Crystal,None,40,,,,0100M,"Bold, modern design characterizes this 6-hand chronograph from the Classic Bulova Prestige men?s collection. The watch features a faceted 40mm gold- and silver-tone stainless steel case with a geometric bezel, flat sapphire crystal with anti-reflective coating, 100m of water resistance, and a chamfered 3-link bracelet with a combination of brushed and polished finishes and a push-button deployant closure. The silver-white striped dial has gold-tone hands and applied markers with Super-LumiNova luminescent fill, a date display, and sub-dials including a 24-hour display. Highly functional with a distinctive design, this timepiece is suited for any occasion, from the everyday to the extraordinary.",https://bulova.widen.net/content/vggweluh3r/jpeg/98B450_Catalog.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://bulova.widen.net/content/zxpgy2cq59/jpeg/vggweluh3r_Catalog.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
